data,symbol,open,close,high,low,volume
1581206400,ADA_USDT,0.060091,0.061887,0.062309,0.060037,3.49E+07
1581292800,ADA_USDT,0.061887,0.060278,0.062045,0.058463,3.44E+07
1581379200,ADA_USDT,0.060278,0.063407,0.063429,0.058913,3.29E+07
1581465600,ADA_USDT,0.063407,0.068146,0.07045,0.063407,4.73E+07
1581552000,ADA_USDT,0.068146,0.068814,0.07226,0.065511,5.65E+07
1581638400,ADA_USDT,0.068814,0.070744,0.071209,0.06739,3.87E+07
1581724800,ADA_USDT,0.070744,0.064184,0.071302,0.062316,4.03E+07
1581811200,ADA_USDT,0.064184,0.062065,0.067143,0.056792,5.16E+07
1581897600,ADA_USDT,0.062065,0.060152,0.062604,0.055702,4.63E+07
1581984000,ADA_USDT,0.060152,0.06271,0.063546,0.057865,4.03E+07
1582070400,ADA_USDT,0.06271,0.057415,0.0629,0.057073,3.20E+07
1582156800,ADA_USDT,0.057415,0.058141,0.058853,0.055187,3.97E+07
1582243200,ADA_USDT,0.058141,0.058585,0.059957,0.057377,3.36E+07
1582329600,ADA_USDT,0.058585,0.058209,0.059063,0.056995,4.72E+07
1582416000,ADA_USDT,0.058209,0.061658,0.061895,0.058085,5.60E+07
1582502400,ADA_USDT,0.061658,0.059049,0.061768,0.057379,6.16E+07
1582588800,ADA_USDT,0.059049,0.056202,0.059157,0.056003,6.08E+07
1582675200,ADA_USDT,0.056202,0.049138,0.056648,0.046496,1.06E+08
1582761600,ADA_USDT,0.049138,0.049748,0.052168,0.04633,9.10E+07
1582848000,ADA_USDT,0.049748,0.048891,0.051291,0.04656,8.09E+07
1582934400,ADA_USDT,0.048891,0.047096,0.04995,0.047044,6.37E+07
1583020800,ADA_USDT,0.047096,0.045698,0.048291,0.045086,4.87E+07
1583107200,ADA_USDT,0.045698,0.049217,0.049755,0.045443,6.62E+07
1583193600,ADA_USDT,0.049217,0.048633,0.049333,0.047436,6.84E+07
1583280000,ADA_USDT,0.048633,0.049016,0.050281,0.047871,6.03E+07
1583366400,ADA_USDT,0.049016,0.050991,0.052337,0.049014,5.87E+07
1583452800,ADA_USDT,0.050991,0.051692,0.051697,0.049877,5.34E+07
1583539200,ADA_USDT,0.051692,0.048793,0.051832,0.048163,4.87E+07
1583625600,ADA_USDT,0.048793,0.042762,0.048793,0.042285,8.35E+07
1583712000,ADA_USDT,0.042762,0.041539,0.043849,0.039007,1.19E+08
1583798400,ADA_USDT,0.041539,0.041413,0.042946,0.040333,8.34E+07
1583884800,ADA_USDT,0.041413,0.039713,0.041798,0.037258,6.66E+07
1583971200,ADA_USDT,0.039713,0.023038,0.039836,0.02231,1.94E+08
1584057600,ADA_USDT,0.023038,0.028371,0.029221,0.017893,2.82E+08
1584144000,ADA_USDT,0.028371,0.025763,0.028801,0.025321,8.54E+07
1584230400,ADA_USDT,0.025763,0.026981,0.028886,0.025484,9.25E+07
1584316800,ADA_USDT,0.026981,0.024161,0.026986,0.021634,1.64E+08
1584403200,ADA_USDT,0.024161,0.025793,0.026402,0.023922,1.03E+08
1584489600,ADA_USDT,0.025793,0.026055,0.02648,0.024316,1.20E+08
1584576000,ADA_USDT,0.026055,0.030289,0.031871,0.025798,1.44E+08
1584662400,ADA_USDT,0.030289,0.029425,0.033913,0.026804,2.30E+08
1584748800,ADA_USDT,0.029425,0.029457,0.030596,0.027899,1.58E+08
1584835200,ADA_USDT,0.029457,0.027054,0.030371,0.026859,1.25E+08
1584921600,ADA_USDT,0.027054,0.029272,0.029809,0.026603,1.79E+08
1585008000,ADA_USDT,0.029272,0.030217,0.03036,0.028764,1.66E+08
1585094400,ADA_USDT,0.030217,0.029436,0.03037,0.028816,1.63E+08
1585180800,ADA_USDT,0.029436,0.030844,0.030914,0.029222,1.07E+08
1585267200,ADA_USDT,0.030844,0.02882,0.031402,0.028466,1.09E+08
1585353600,ADA_USDT,0.02882,0.029768,0.029966,0.027851,1.26E+08
1585440000,ADA_USDT,0.029768,0.028077,0.029931,0.028064,1.05E+08
1585526400,ADA_USDT,0.028077,0.029657,0.030355,0.028005,1.07E+08
1585612800,ADA_USDT,0.029657,0.03044,0.030659,0.029517,1.07E+08
1585699200,ADA_USDT,0.03044,0.030932,0.030932,0.029424,1.29E+08
1585785600,ADA_USDT,0.030932,0.031917,0.033452,0.03075,1.29E+08
1585872000,ADA_USDT,0.031917,0.032296,0.032715,0.031612,8.66E+07
1585958400,ADA_USDT,0.032296,0.032474,0.032703,0.031721,9.12E+07
1586044800,ADA_USDT,0.032474,0.031888,0.032544,0.031617,6.19E+07
1586131200,ADA_USDT,0.031888,0.035914,0.036069,0.031884,1.40E+08
1586217600,ADA_USDT,0.035914,0.035223,0.036929,0.034554,1.55E+08
1586304000,ADA_USDT,0.035223,0.036388,0.03678,0.035223,1.02E+08
1586390400,ADA_USDT,0.036388,0.036077,0.036584,0.035255,7.08E+07
1586476800,ADA_USDT,0.036077,0.033213,0.036193,0.03218,9.84E+07
1586563200,ADA_USDT,0.033213,0.03344,0.034081,0.032628,9.48E+07
1586649600,ADA_USDT,0.03344,0.033404,0.034865,0.032926,1.02E+08
1586736000,ADA_USDT,0.033404,0.03311,0.033478,0.031903,1.15E+08
1586822400,ADA_USDT,0.03311,0.033128,0.033748,0.032667,8.90E+07
1586908800,ADA_USDT,0.033128,0.031841,0.033687,0.031798,8.82E+07
1586995200,ADA_USDT,0.031841,0.034413,0.034935,0.030915,1.25E+08
1587081600,ADA_USDT,0.034413,0.034321,0.034884,0.034039,7.59E+07
1587168000,ADA_USDT,0.034321,0.036514,0.036968,0.034321,9.91E+07
1587254400,ADA_USDT,0.036514,0.035481,0.036712,0.03509,1.04E+08
1587340800,ADA_USDT,0.035481,0.033945,0.03657,0.033839,1.11E+08
1587427200,ADA_USDT,0.033945,0.034536,0.034982,0.033747,1.08E+08
1587513600,ADA_USDT,0.034536,0.036607,0.036666,0.034347,7.80E+07
1587600000,ADA_USDT,0.036607,0.040856,0.042516,0.036387,1.14E+08
1587686400,ADA_USDT,0.040856,0.041632,0.043885,0.040842,8.80E+07
1587772800,ADA_USDT,0.041632,0.042235,0.043555,0.041046,7.79E+07
1587859200,ADA_USDT,0.042235,0.045911,0.046075,0.041866,7.97E+07
1587945600,ADA_USDT,0.045911,0.046516,0.047603,0.044172,8.97E+07
1588032000,ADA_USDT,0.046516,0.046874,0.047989,0.045464,7.49E+07
1588118400,ADA_USDT,0.046874,0.051445,0.051903,0.046759,8.26E+07
1588204800,ADA_USDT,0.051445,0.047559,0.054329,0.047144,1.10E+08
1588291200,ADA_USDT,0.047559,0.050932,0.051724,0.047431,7.50E+07
1588377600,ADA_USDT,0.050932,0.050929,0.051432,0.049473,6.65E+07
1588464000,ADA_USDT,0.050929,0.048977,0.051645,0.047732,7.35E+07
1588550400,ADA_USDT,0.048977,0.049455,0.050076,0.046092,8.88E+07
1588636800,ADA_USDT,0.049455,0.049467,0.050484,0.048674,7.41E+07
1588723200,ADA_USDT,0.049467,0.04887,0.05093,0.048662,6.66E+07
1588809600,ADA_USDT,0.04887,0.051188,0.051395,0.048253,7.29E+07
1588896000,ADA_USDT,0.051188,0.052026,0.053649,0.050862,7.97E+07
1588982400,ADA_USDT,0.052026,0.051503,0.052966,0.051244,7.20E+07
1589068800,ADA_USDT,0.051503,0.047659,0.051505,0.042194,8.52E+07
1589155200,ADA_USDT,0.047659,0.047616,0.049724,0.044942,8.30E+07
1589241600,ADA_USDT,0.047616,0.050321,0.050942,0.047355,6.05E+07
1589328000,ADA_USDT,0.050321,0.051517,0.052122,0.049582,5.66E+07
1589414400,ADA_USDT,0.051517,0.05092,0.051879,0.050311,4.59E+07
1589500800,ADA_USDT,0.05092,0.05016,0.051821,0.049759,2.91E+07
1589587200,ADA_USDT,0.05016,0.050911,0.051259,0.050001,2.62E+07
1589673600,ADA_USDT,0.050911,0.051293,0.052191,0.050904,2.43E+07
1589760000,ADA_USDT,0.051293,0.05431,0.054947,0.051192,2.59E+07
1589846400,ADA_USDT,0.05431,0.056724,0.057005,0.052563,7955741.56
1589932800,ADA_USDT,0.056724,0.056921,0.057526,0.053981,8888276.24
1590019200,ADA_USDT,0.056921,0.052021,0.057512,0.050238,1.06E+07
1590105600,ADA_USDT,0.052021,0.055672,0.056873,0.051289,1.62E+07
1590192000,ADA_USDT,0.055672,0.054912,0.056349,0.054132,1.70E+07
1590278400,ADA_USDT,0.054912,0.051322,0.056077,0.051315,1.72E+07
1590364800,ADA_USDT,0.051322,0.053821,0.054269,0.051066,1.67E+07
1590451200,ADA_USDT,0.053821,0.053513,0.054067,0.051844,1.51E+07
1590537600,ADA_USDT,0.053513,0.05506,0.055843,0.053017,1.50E+07
1590624000,ADA_USDT,0.05506,0.064878,0.067478,0.054794,1.84E+07
1590710400,ADA_USDT,0.064878,0.064567,0.06651,0.062001,1.91E+07
1590796800,ADA_USDT,0.064567,0.076819,0.077427,0.06375,2.27E+07
1590883200,ADA_USDT,0.076819,0.073879,0.086348,0.072172,2.97E+07
1590969600,ADA_USDT,0.073879,0.080905,0.082825,0.073625,2.53E+07
1591056000,ADA_USDT,0.080905,0.078747,0.082428,0.072011,2.03E+07
1591142400,ADA_USDT,0.078747,0.085541,0.085746,0.077196,2.05E+07
1591228800,ADA_USDT,0.085541,0.088764,0.090265,0.083547,2.08E+07
1591315200,ADA_USDT,0.088764,0.085213,0.089082,0.083869,1.79E+07
1591401600,ADA_USDT,0.085213,0.086179,0.087256,0.084808,1.27E+07
1591488000,ADA_USDT,0.086179,0.08653,0.088578,0.081887,1.66E+07
1591574400,ADA_USDT,0.08653,0.086438,0.086882,0.084604,1.27E+07
1591660800,ADA_USDT,0.086438,0.082873,0.08663,0.082868,1.27E+07
1591747200,ADA_USDT,0.082873,0.083557,0.083858,0.079415,1.73E+07
1591833600,ADA_USDT,0.083557,0.075243,0.084999,0.07427,1.90E+07
1591920000,ADA_USDT,0.075243,0.079466,0.080882,0.07496,1.89E+07
1592006400,ADA_USDT,0.079466,0.07908,0.079558,0.077216,1.45E+07
1592092800,ADA_USDT,0.07908,0.076639,0.079103,0.076459,1.13E+07
1592179200,ADA_USDT,0.076639,0.078261,0.079735,0.069405,2.27E+07
1592265600,ADA_USDT,0.078261,0.07921,0.079592,0.076749,1.62E+07
1592352000,ADA_USDT,0.07921,0.08353,0.083729,0.077435,1.87E+07
1592438400,ADA_USDT,0.08353,0.0819,0.084457,0.079753,1.49E+07
1592524800,ADA_USDT,0.0819,0.079975,0.081915,0.078491,1.56E+07
1592611200,ADA_USDT,0.079975,0.079479,0.080175,0.077078,1.10E+07
1592697600,ADA_USDT,0.079479,0.078392,0.080917,0.078134,1.00E+07
1592784000,ADA_USDT,0.078392,0.083573,0.083916,0.078218,1.16E+07
1592870400,ADA_USDT,0.083573,0.082771,0.084416,0.081549,1.12E+07
1592956800,ADA_USDT,0.082771,0.082514,0.087173,0.080033,1.69E+07
1593043200,ADA_USDT,0.082514,0.081633,0.083496,0.078739,1.34E+07
1593129600,ADA_USDT,0.081633,0.080618,0.081803,0.079356,1.22E+07
1593216000,ADA_USDT,0.080618,0.077396,0.080975,0.074663,1.21E+07
1593302400,ADA_USDT,0.077396,0.080353,0.081079,0.076176,1.24E+07
1593388800,ADA_USDT,0.080353,0.083867,0.084372,0.080219,1.38E+07
1593475200,ADA_USDT,0.083867,0.082974,0.084663,0.081875,1.09E+07
1593561600,ADA_USDT,0.082974,0.096677,0.096878,0.082398,1.54E+07
1593648000,ADA_USDT,0.096677,0.092887,0.096746,0.087653,2.35E+07
1593734400,ADA_USDT,0.092887,0.096565,0.101829,0.09246,2.08E+07
1593820800,ADA_USDT,0.096565,0.099999,0.101145,0.095935,1.68E+07
1593907200,ADA_USDT,0.099999,0.098344,0.100051,0.094203,1.16E+07
1593993600,ADA_USDT,0.098344,0.105051,0.106525,0.097244,1.58E+07
1594080000,ADA_USDT,0.105051,0.117665,0.118938,0.102904,2.37E+07
1594166400,ADA_USDT,0.117665,0.129901,0.137689,0.114887,3.73E+07
1594252800,ADA_USDT,0.129901,0.124047,0.129902,0.116,2.45E+07
1594339200,ADA_USDT,0.124047,0.118314,0.124121,0.110008,1.64E+07
1594425600,ADA_USDT,0.118314,0.125156,0.126889,0.1179,1.37E+07
1594512000,ADA_USDT,0.125156,0.126575,0.128282,0.120665,1.20E+07
1594598400,ADA_USDT,0.126575,0.124652,0.135853,0.122901,2.08E+07
1594684800,ADA_USDT,0.124652,0.13229,0.13447,0.121203,6987983.29
